['id', 'value', 'sk_value']
['id_48', 23.452865998650523, 27.754443721735363]
['id_49', 30.36125665277106, 33.28845596103057]
['id_50', 18.532181484283804, 16.74363635608537]
['id_51', 3.730602959314959, 5.576301919374228]
['id_52', 31.483332721004363, 26.48348643752273]
['id_53', 47.35511745189295, 49.48782496952323]
['id_54', 13.456400024286062, 14.963268542531758]
['id_55', 32.89129286316813, 35.62773618989749]
['id_56', 33.28571202151117, 36.20453594891688]
['id_57', 22.191689291534754, 21.254392850933097]
['id_58', 60.92994825963308, 61.12120581614929]
['id_59', 19.02636599860259, 22.338600350947235]
['id_60', 13.184424975168998, 11.913226382718019]
['id_61', 40.95215100874478, 43.46696171021503]
['id_62', 14.410876457813712, 15.755450130524007]
['id_63', 49.7211806447262, 51.15495296928292]
['id_64', 15.45677514876856, 14.234221598387938]
['id_65', 16.20102691156074, 18.205370812212408]
['id_66', 12.342068760352106, 13.856502053978147]
['id_67', 1.4288290747113557, 2.2002416577422768]
['id_68', 43.98763206055478, 43.60029520617911]
['id_69', 31.681865977525423, 29.431323668173473]
['id_70', 16.92624089921047, 21.174289570411837]
['id_71', 33.80393622059176, 41.41333959543421]
['id_72', 58.70855745221253, 62.53456700789086]
['id_73', 3.7107797372569733, 5.6714383527500205]
['id_74', 14.109239977196097, 15.602364951160954]
['id_75', 5.346375355556158, 4.009136317701408]
['id_76', 38.125865351424046, 38.35088306527269]
['id_77', 15.823132260752063, 14.03117431779119]
['id_78', 25.815555407382934, 23.369414303520735]
['id_79', 20.102404186280946, 19.835344420873263]
['id_80', 19.272496366334664, 20.780545781665587]
['id_81', 29.63942894962914, 28.20201904468893]
['id_82', 20.11339322044755, 19.6898555566323]
['id_83', 82.71242566821012, 92.66224010476894]
['id_84', 32.997945389490916, 35.63320791429345]
['id_85', 25.550426307632307, 28.788505674301888]
['id_86', 23.186850327676375, 21.408544497586647]
['id_87', 30.039231918259976, 36.18251927642771]
['id_88', 20.318323317575626, 21.778075055971854]
['id_89', 18.898483783212363, 20.271974607406662]
['id_90', 27.490550236011646, 29.092914637253752]
['id_91', 36.098656711794504, 39.98265665480017]
['id_92', 3.3907961649846006, 4.263699426405019]
['id_93', 36.44219288300017, 38.86935368801435]
['id_94', 40.5640030640411, 44.2575460127149]
['id_95', 13.129075778497945, 15.425329635535235]
['id_96', 27.205857355486593, 27.31707746336782]
['id_97', 13.89341506583168, 15.469241676847917]
['id_98', 24.300915855979408, 25.238005009474797]
['id_99', 2.274575702364741, 3.686270965352752]
['id_100', 15.287882601377092, 17.219518281422552]
['id_101', 27.418957393444536, 26.608511215857092]
['id_102', 15.467349068914201, 18.220941551790336]
['id_103', 17.55783506000771, 17.69702264429675]
['id_104', 19.683803421322686, 22.4939158496518]
['id_105', 38.42593757419902, 41.57963786224093]
['id_106', 23.679739384202463, 28.35588102599016]
['id_107', 8.265837868447285, 9.39621716988043]
['id_108', 11.765831731259386, 9.11634244531457]
['id_109', 71.76351259349515, 77.40169776769132]
['id_110', 41.81627347858092, 47.26582337080963]
['id_111', 13.502168536089531, 17.555830484322826]
['id_112', 28.12922372000658, 28.451731292853832]
['id_113', 14.791727156893952, 16.302736016038512]
['id_114', 11.53893807413242, 12.734032796409513]
['id_115', 25.36847562099225, 26.292565272545733]
['id_116', 24.906423808619614, 28.48672043515366]
['id_117', 5.964263374692254, 8.027958295450587]
['id_118', 17.462019720548213, 18.837444228279992]
['id_119', 15.991893691705636, 18.772391747203514]
['id_120', 64.99440616865198, 69.3961537144985]
['id_121', 19.59405599176594, 22.07525572990751]
['id_122', 29.043537348924236, 35.62492513875898]
['id_123', 23.302787258774796, 24.702940453932914]
['id_124', 8.42173870059436, 8.108032722395565]
['id_125', 43.624970770511766, 40.60825828424859]
['id_126', 8.562524908796588, 7.680956504328581]
['id_127', 15.931624079080072, 21.7051152543318]
['id_128', 26.15604421240033, 28.527988024106364]
['id_129', 57.25281287703172, 60.27831511016725]
['id_130', 18.40434546773958, 21.815998779696244]
['id_131', 24.628313087137414, 26.35484837396444]
['id_132', 55.74367117365435, 58.287359562595896]
['id_133', 14.596494123720724, 17.154263518050648]
['id_134', 10.053892600528524, 11.510321303554779]
['id_135', 2.6597349536473125, 3.4186675735170047]
['id_136', 11.22901215920485, 13.93305376456754]
['id_137', 56.75090216503651, 57.94121594253499]
['id_138', 11.358435236681897, 13.468759509139902]
['id_139', 7.031984699152028, 7.829217638428738]
['id_140', 26.595638327196102, 28.382738908710365]
['id_141', 25.757059083930034, 26.556695694245533]
['id_142', 38.42982895374784, 43.79360302958756]
['id_143', 29.225351239873905, 28.891549537114106]
['id_144', 14.950031983876148, 18.509315564016223]
['id_145', 24.96205449451336, 26.486272603381362]
['id_146', 8.690166738508335, 10.914954708530857]
['id_147', 52.106999113265786, 52.684823415058865]
['id_148', 15.735395460194272, 19.976509874018703]
['id_149', 37.255814663179905, 39.86423173031222]
['id_150', 11.869203953419719, 13.64843911620537]
['id_151', 5.0723667277444235, 8.345216452598565]
['id_152', 23.55392824815719, 24.45532919524999]
['id_153', 6.407871414995753, 8.847231473423202]
['id_154', 16.962901878290424, 18.38184720259783]
['id_155', 37.147499091232035, 39.47469810275886]
['id_156', 5.78426626954595, 8.20798479791339]
['id_157', 31.015107392238587, 34.16481373150485]
['id_158', 8.569665260035539, 9.386225835965176]
['id_159', 17.828049268420152, 18.209652012713793]
['id_160', 38.0990107989331, 39.96742506006651]
['id_161', 16.503018555969575, 19.74882331842895]
['id_162', 11.304871235230534, 15.618276204212856]
['id_163', 6.178510947831625, 7.650023988217962]
['id_164', 43.80004862328848, 47.81238921677021]
['id_165', 24.58203409457525, 28.313578486372467]
['id_166', 2.7535164299583954, 4.3403198955108415]
['id_167', 13.342295875978795, 14.943392548119277]
['id_168', 57.69282660710934, 61.34365314558421]
['id_169', 10.013491345245372, 12.118236431565235]
['id_170', 58.42651431830069, 61.56215978497042]
['id_171', 35.60446972193134, 36.77091755951515]
['id_172', 27.20290129771196, 29.44080186333629]
['id_173', 18.324024902416433, 19.696945141714696]
['id_174', 55.187005428680855, 57.890278628269485]
['id_175', 18.218793860843594, 21.18547559803969]
['id_176', 21.015280456210085, 23.53833594393054]
['id_177', 32.86339285214759, 36.504830976328535]
['id_178', 9.240273617105645, 11.364585123557362]
['id_179', 30.48437529632421, 33.136465057070495]
['id_180', 15.16036390746977, 16.321773711668246]
['id_181', 9.251508197347125, 11.460047947213589]
['id_182', 45.914418244649966, 51.0840877679001]
['id_183', 45.80995671682598, 50.99316178835336]
['id_184', 16.20538231038736, 15.136157444292294]
['id_185', 26.744563199817655, 30.522108154325593]
['id_186', 21.376293704434637, 23.65942225849983]
['id_187', 62.96757622578542, 67.86386102268376]
['id_188', 10.405246400224993, 10.22267418157498]
['id_189', 52.73316788487338, 55.336681852521245]
['id_190', 38.00329207754876, 40.85117602615586]
['id_191', 15.183350135780616, 17.022108409364797]
['id_192', 25.985857365580753, 27.892429328574647]
['id_193', 0.27023717964474026, 1.3161728976457852]
['id_194', 20.139470381207676, 20.625796270678514]
['id_195', 0.6093076720391011, 1.8794788473004562]
['id_196', 34.922913357935215, 36.63205868026384]
['id_197', 10.357813318168956, 11.620812029351702]
['id_198', 18.982666556780334, 20.476933370990388]
['id_199', 64.30961706778298, 63.63750858559709]
['id_200', 26.430266072645562, 27.73356871425341]
['id_201', 23.05162746057644, 28.09694809143415]
['id_202', 62.304678355295415, 64.52614067221046]
['id_203', 9.503221002438867, 12.00749733211713]
['id_204', 9.100847344723752, 10.322847278080893]
['id_205', 11.00521867103736, 11.82424338633903]
['id_206', 6.535158555112522, 6.402551418247049]
['id_207', 2.5674612513214363, 2.5706712490545316]
['id_208', 117.0342007421255, 125.2885829295804]
['id_209', 17.543049897528967, 20.103377164829908]
['id_210', 12.50442902752268, 15.376040659464918]
['id_211', 15.464378285735327, 14.703634930318682]
['id_212', 32.2978952195869, 37.09128987349323]
['id_213', 34.101014543822345, 36.57877517076785]
['id_214', 21.674259753686115, 22.07015859363511]
['id_215', 28.874569451200433, 33.162986573449224]
['id_216', 78.73814653862968, 83.6730329531409]
['id_217', 0.9020327270675261, 1.7394307267653435]
['id_218', 12.97096449640063, 14.03448474008649]
['id_219', 31.11706132063386, 31.177153178507346]
['id_220', 16.84371929384713, 16.43600841724882]
['id_221', 11.832539595818773, 13.98548506367098]
['id_222', 117.23554027607092, 115.85851767217832]
['id_223', 11.635023237517977, 12.69990977854548]
['id_224', 14.869011002953133, 16.736985781446997]
['id_225', 48.14488577459779, 56.03287974411349]
['id_226', 12.24929639716467, 13.359692962041454]
['id_227', 20.602726361465216, 21.385391338597]
['id_228', 9.7207519089576, 10.6305222396928]
['id_229', 3.775998427855179, 6.676090758442168]
['id_230', 39.48009133771742, 44.623476069731936]
['id_231', 13.135329580402322, 12.537965691283066]
['id_232', 48.959226976165695, 54.697374494787425]
['id_233', 37.33722941227913, 40.09618108008536]
['id_234', 16.5489675977521, 21.856619300321054]
['id_235', 45.74555206162377, 44.24564227622157]
['id_236', 69.86923831792701, 72.29466071145194]
['id_237', 38.926473824724894, 43.68183192926007]
['id_238', 1.0055818255457254, 1.0119681327923171]
['id_239', 15.668914040322704, 19.421312407199636]
